serial_number,hsc_code,country_origin,make,model,year,engine_cc,description,cif_usd,database_month
48,8704.22.90,IN,Unknown,Unknown,2012,6022,"Ashok Leyland truck (9 Ton), Model PNA, 2012",25387.22,"October 2025"
49,8429.59.00,IN,Unknown,Unknown,2021,5995,"Ashok Leyland Truck 4X2, Model 9016, APRD Bore Hole Pump). 2021",36174.62,"October 2025"
50,8429.59.00,IN,Unknown,Unknown,2022,5995,"Ashok Leyland Truck 4X2, Model 9016, APRD Bore Hole Pump). 2022",39792.09,"October 2025"
51,8703.24.90,GB,Unknown,Unknown,2022,4000,"Aston Martin, DBX 707 (Petrol), 2022",75994.62,"October 2025"
52,8703.23.90,GB,Unknown,Unknown,2023,3000,"Aston Martin, DBX 707 (Petrol), 2023",95475.76,"October 2025"
53,8703.23.90,DE,Unknown,Unknown,2024,3000,"Aston Martin, DBX 707 (Petrol), 2024",112456.23,"October 2025"
63,8414.40.00,NL,"Atlas Copco",Mobile,2006,,"Atlas Copco Mobile Air Compressor Model : XAS67DD, 2006",1651.94,"October 2025"
64,8414.40.00,NL,"Atlas Copco",Mobile,2022,2300,"Atlas Copco Mobile Air Compressor Model : XAS97, 2022",21651.94,"October 2025"
65,8429.59.00,SE,"Atlas Copco",Track,2013,5000,"Atlas Copco Track Wagon Drill, Model Roc D3-01, 2013",72427.5,"October 2025"
66,8703.23.90,DE,Audi,A1,2010,1400,"Audi A1 Car (Petrol), 2010",2282.35,"October 2025"
67,8703.23.90,DE,Audi,A1,2011,1400,"Audi A1 Car (Petrol), 2011",2624.7,"October 2025"
68,8703.23.90,DE,Audi,A1,2012,1400,"Audi A1 Car (Petrol), 2012",3018.41,"October 2025"
69,8703.23.90,DE,Audi,A1,2013,1400,"Audi A1 Car (Petrol), 2013",3471.17,"October 2025"
70,8703.23.90,DE,Audi,A1,2014,1400,"Audi A1 Car (Petrol), 2014",3991.84,"October 2025"
71,8703.23.90,DE,Audi,A1,2015,1400,"Audi A1 Car (Petrol), 2015",4928.51,"October 2025"
72,8703.23.90,DE,Audi,A1,2016,1400,"Audi A1 Car (Petrol), 2016",5477.17,"October 2025"
73,8703.23.90,DE,Audi,A1,2016,1000,"Audi A1 Car (Petrol), 2016",4311.19,"October 2025"
74,8703.23.90,DE,Audi,A1,2016,1100,"Audi A1 Car (Petrol), 2016",4311.19,"October 2025"
75,8703.23.90,DE,Audi,A1,2017,1400,"Audi A1 Car (Petrol), 2017",6001.12,"October 2025"
76,8703.23.90,DE,Audi,A1,2017,1000,"Audi A1 Car (Petrol), 2017",4957.87,"October 2025"
77,8703.23.90,DE,Audi,A1,2017,1100,"Audi A1 Car (Petrol), 2017",4957.87,"October 2025"
78,8703.23.90,DE,Audi,A1,2018,1400,"Audi A1 Car (Petrol), 2018",4507.15,"October 2025"
79,8703.23.90,DE,Audi,A1,2018,1000,"Audi A1 Car (Petrol), 2018",5794.24,"October 2025"
80,8703.23.90,DE,Audi,A1,2018,1100,"Audi A1 Car (Petrol), 2018",5794.24,"October 2025"
81,8703.23.90,DE,Audi,A1,2019,1000,"Audi A1 Car (Petrol), 2019",6663.37,"October 2025"
82,8703.23.90,DE,Audi,A1,2019,1100,"Audi A1 Car (Petrol), 2019",6663.37,"October 2025"
83,8703.23.90,DE,Audi,A3,2010,2000,"Audi A3 Car (Petrol), 2010",5398.28,"October 2025"
84,8703.23.90,DE,Audi,A3,2010,1400,"Audi A3 Car (Petrol), 2010",3781.66,"October 2025"
85,8703.23.90,DE,Audi,A3,2010,1600,"Audi A3 Car (Petrol), 2010",4099.91,"October 2025"
86,8703.23.90,DE,Audi,A3,2010,1800,"Audi A3 Car (Petrol), 2010",4509.9,"October 2025"
87,8703.23.90,DE,Audi,A3,2011,1400,"Audi A3 Car (Petrol), 2011",4159.82,"October 2025"
88,8703.23.90,DE,Audi,A3,2011,1600,"Audi A3 Car (Petrol), 2011",4795.66,"October 2025"
89,8703.23.90,DE,Audi,A3,2011,1800,"Audi A3 Car (Petrol), 2011",5275.22,"October 2025"
90,8703.23.90,DE,Audi,A3,2012,1800,"Audi A3 Car (Petrol), 2012",6810.51,"October 2025"
91,8703.23.90,DE,Audi,A3,2012,1400,"Audi A3 Car (Petrol), 2012",5323.18,"October 2025"
92,8703.23.90,DE,Audi,A3,2012,1600,"Audi A3 Car (Petrol), 2012",5855.5,"October 2025"
93,8703.23.90,DE,Audi,A3,2013,1800,"Audi A3 Car (Petrol), 2013",6441.05,"October 2025"
94,8703.23.90,DE,Audi,A3,2013,1600,"Audi A3 Car (Petrol), 2013",6426.44,"October 2025"
95,8703.23.90,DE,Audi,A3,2014,1600,"Audi A3 Car (Petrol), 2014",7212.56,"October 2025"
96,8703.23.90,DE,Audi,A3,2014,1800,"Audi A3 Car (Petrol), 2014",7565.55,"October 2025"
97,8703.23.90,DE,Audi,A3,2016,1400,"Audi A3 Car (Petrol), 2016",9764.45,"October 2025"
98,8703.23.90,DE,Audi,A3,2014,1400,"Audi A3 Car TSFI AMBIENT (Petrol), 2014",8474.6,"October 2025"
99,8703.23.90,DE,Audi,A3,2010,1400,"Audi A3 Quattro Estate (Petrol), 2010",4034.28,"October 2025"
100,8703.23.90,DE,Audi,A3,2017,1400,"Audi A3 Sportback 1.4 TFSI (Petrol), 2017",7079.83,"October 2025"
101,8703.23.90,DE,Audi,A4,2018,1400,"Audi A4 1.4 TFSI AU Saloon (Petrol), 2018",14778.69,"October 2025"
102,8703.23.90,DE,Audi,A4,2019,1400,"Audi A4 1.4 TFSI AU Saloon (Petrol), 2019",16256.56,"October 2025"
103,8703.23.90,DE,Audi,A4,2010,1800,"Audi A4 1.8 Avant Car (Petrol), 2010",4293.82,"October 2025"
104,8703.23.90,DE,Audi,A4,2011,1800,"Audi A4 1.8 Avant Car (Petrol), 2011",5066.01,"October 2025"
105,8703.23.90,DE,Audi,A4,2012,1800,"Audi A4 1.8 Avant Car (Petrol), 2012",6107.54,"October 2025"
106,8703.23.90,DE,Audi,A4,2013,1800,"Audi A4 1.8 Avant Car (Petrol), 2013",6975.44,"October 2025"
107,8703.23.90,DE,Audi,A4,2014,1800,"Audi A4 1.8 Avant Car (Petrol), 2014",8088.95,"October 2025"
108,8703.23.90,DE,Audi,A4,2010,1800,"Audi A4 1.8 TFSI MU Saloon (Petrol), 2010",4293.82,"October 2025"
109,8703.23.90,DE,Audi,A4,2011,1800,"Audi A4 1.8 TFSI MU Saloon (Petrol), 2011",5066.01,"October 2025"
110,8703.23.90,DE,Audi,A4,2012,1800,"Audi A4 1.8 TFSI MU Saloon (Petrol), 2012",6107.54,"October 2025"
111,8703.23.90,DE,Audi,A4,2013,1800,"Audi A4 1.8 TFSI MU Saloon (Petrol), 2013",6975.44,"October 2025"
112,8703.23.90,DE,Audi,A4,2014,1800,"Audi A4 1.8 TFSI MU Saloon (Petrol), 2014",8088.95,"October 2025"
113,8703.23.90,DE,Audi,A4,2010,2000,"Audi A4 2.0 Avant Car (Petrol), 2010",4723.21,"October 2025"
114,8703.23.90,DE,Audi,A4,2011,2000,"Audi A4 2.0 Avant Car (Petrol), 2011",5572.61,"October 2025"
115,8703.23.90,DE,Audi,A4,2012,2000,"Audi A4 2.0 Avant Car (Petrol), 2012",6718.29,"October 2025"
116,8703.23.90,DE,Audi,A4,2013,2000,"Audi A4 2.0 Avant Car (Petrol), 2013",7672.98,"October 2025"
117,8703.23.90,DE,Audi,A4,2014,2000,"Audi A4 2.0 Avant Car (Petrol), 2014",8897.84,"October 2025"
118,8703.23.90,DE,Audi,A4,2010,2000,"Audi A4 2.0 Car (Petrol), 2010",4806.07,"October 2025"
119,8703.23.90,DE,Audi,A4,2011,2000,"Audi A4 2.0 Car (Petrol), 2011",5919.45,"October 2025"
120,8703.23.90,DE,Audi,A4,2012,2000,"Audi A4 2.0 Car (Petrol), 2012",7035.15,"October 2025"
121,8703.23.90,DE,Audi,A4,2013,2000,"Audi A4 2.0 Car (Petrol), 2013",8241.83,"October 2025"
122,8703.23.90,DE,Audi,A4,2014,2000,"Audi A4 2.0 Car (Petrol), 2014",8475.17,"October 2025"
123,8703.24.90,DE,Audi,A4,2015,2000,"Audi A4 2.0 Car (Petrol), 2015",8970.76,"October 2025"
124,8703.24.90,DE,Audi,A4,2016,2000,"Audi A4 2.0 Car (Petrol), 2016",9543.54,"October 2025"
125,8703.24.90,DE,Audi,A4,2017,2000,"Audi A4 2.0 Car (Petrol), 2017",10291.44,"October 2025"
126,8703.23.90,DE,Audi,A4,2010,2000,"Audi A4 2.0 TFSI Multronic Saloon (Petrol), 2010",4033.35,"October 2025"
127,8703.23.90,DE,Audi,A4,2011,2000,"Audi A4 2.0 TFSI Multronic Saloon (Petrol), 2011",4436.68,"October 2025"
128,8703.23.90,DE,Audi,A4,2012,2000,"Audi A4 2.0 TFSI Multronic Saloon (Petrol), 2012",4880.35,"October 2025"
129,8703.23.90,DE,Audi,A4,2010,2000,"Audi A4 2.0 TFSI Quattro S Line Saloon (Petrol), 2010",3936.68,"October 2025"
130,8703.23.90,DE,Audi,A4,2011,2000,"Audi A4 2.0 TFSI Quattro S Line Saloon (Petrol), 2011",4349.92,"October 2025"
131,8703.23.90,DE,Audi,A4,2012,2000,"Audi A4 2.0 TFSI Quattro S Line Saloon (Petrol), 2012",4806.54,"October 2025"
132,8703.23.90,DE,Audi,A4,2013,2000,"Audi A4 2.0 TFSI Quattro S Line Saloon (Petrol), 2013",5650.1,"October 2025"
133,8703.23.90,DE,Audi,A4,2014,2000,"Audi A4 2.0 TFSI Quattro S Line Saloon (Petrol), 2014",6552.05,"October 2025"
134,8703.23.90,DE,Audi,A4,2010,2800,"Audi A4 Cabriolet Convertible (Petrol), 2010",8640.27,"October 2025"
135,8703.23.90,DE,Audi,A4,2010,1800,"Audi A4 Car (Petrol), 2010",3975.28,"October 2025"
136,8703.23.90,DE,Audi,A4,2010,3000,"Audi A4 Car (Petrol), 2010",4257.11,"October 2025"
137,8703.23.90,DE,Audi,A4,2011,1800,"Audi A4 Car (Petrol), 2011",4571.57,"October 2025"
138,8703.23.90,DE,Audi,A4,2011,3000,"Audi A4 Car (Petrol), 2011",4895.67,"October 2025"
139,8703.23.90,DE,Audi,A4,2012,1800,"Audi A4 Car (Petrol), 2012",5303.02,"October 2025"
140,8703.23.90,DE,Audi,A4,2012,3000,"Audi A4 Car (Petrol), 2012",5678.98,"October 2025"
141,8703.23.90,DE,Audi,A4,2013,1800,"Audi A4 Car (Petrol), 2013",6832.77,"October 2025"
142,8703.23.90,DE,Audi,A4,2013,3000,"Audi A4 Car (Petrol), 2013",7276.4,"October 2025"
143,8703.23.90,DE,Audi,A4,2010,2000,"Audi A4 Sport FSI Convertible (Petrol), 2010",7619.28,"October 2025"
144,8703.23.90,DE,Audi,A5,2010,2000,"Audi A5 (Petrol) Cabriolet 2.0 TFSI Quattro 2010",9641.14,"October 2025"
145,8703.24.90,DE,Audi,A5,2010,3200,"Audi A5 Car (Petrol), 2010",17818.59,"October 2025"
146,8703.24.90,DE,Audi,A5,2011,3200,"Audi A5 Car (Petrol), 2011",16052.78,"October 2025"
147,8703.23.90,DE,Audi,A5,2010,1800,"Audi A5 Coupe (Petrol), 2010",9467.88,"October 2025"
148,8703.23.90,DE,Audi,A5,2010,2000,"Audi A5 Coupe (Petrol), 2010",9657.23,"October 2025"
149,8703.23.90,DE,Audi,A5,2011,1800,"Audi A5 Coupe (Petrol), 2011",10678.55,"October 2025"
150,8703.23.90,DE,Audi,A5,2011,2000,"Audi A5 Coupe (Petrol), 2011",10892.12,"October 2025"
151,8703.23.90,DE,Audi,A5,2012,1800,"Audi A5 Coupe (Petrol), 2012",12696.35,"October 2025"
152,8703.23.90,DE,Audi,A5,2012,2000,"Audi A5 Coupe (Petrol), 2012",12950.28,"October 2025"
153,8703.23.90,DE,Audi,A5,2013,1800,"Audi A5 Coupe (Petrol), 2013",14314.82,"October 2025"
154,8703.23.90,DE,Audi,A5,2014,1800,"Audi A5 Coupe (Petrol), 2014",15555.65,"October 2025"
155,8703.23.90,DE,Audi,A5,2015,1800,"Audi A5 Coupe (Petrol), 2015",16730.21,"October 2025"
156,8703.24.90,DE,Audi,A5,2014,3000,"Audi A5 S5 (Petrol) TFSI Quattro,Convertible 2014",13742.71,"October 2025"
157,8703.23.90,DE,Audi,A5,2010,2000,"Audi A5 Saloon Car (Diesel), 2010",7312.22,"October 2025"
158,8703.23.90,DE,Audi,A5,2011,2000,"Audi A5 Saloon Car (Diesel), 2011",8162.18,"October 2025"
159,8703.23.90,DE,Audi,A5,2012,2000,"Audi A5 Saloon Car (Diesel), 2012",9120.17,"October 2025"
160,8703.23.90,DE,Audi,A5,2013,2000,"Audi A5 Saloon Car (Diesel), 2013",10201.54,"October 2025"
161,8703.23.90,DE,Audi,A5,2014,2000,"Audi A5 Saloon Car (Diesel), 2014",11409.08,"October 2025"
162,8703.23.90,DE,Audi,A5,2015,2000,"Audi A5 Saloon Car (Diesel), 2015",12771.19,"October 2025"
163,8703.23.90,DE,Audi,A5,2010,2000,"Audi A5 Saloon Car (Petrol), 2.0, 2010",6946.61,"October 2025"
164,8703.23.90,DE,Audi,A5,2011,2000,"Audi A5 Saloon Car (Petrol), 2.0, 2011",7754.07,"October 2025"
165,8703.23.90,DE,Audi,A5,2012,2000,"Audi A5 Saloon Car (Petrol), 2.0, 2012",8664.16,"October 2025"
166,8703.23.90,DE,Audi,A5,2013,2000,"Audi A5 Saloon Car (Petrol), 2.0, 2013",9691.46,"October 2025"
167,8703.23.90,DE,Audi,A5,2014,2000,"Audi A5 Saloon Car (Petrol), 2.0, 2014",10838.62,"October 2025"
168,8703.23.90,DE,Audi,A5,2015,2000,"Audi A5 Saloon Car (Petrol), 2.0, 2015",11869.82,"October 2025"
169,8703.24.90,DE,Audi,A6,2010,2000,"Audi A6 Car (Diesel), 2.0, 2010",6939.66,"October 2025"
170,8703.24.90,DE,Audi,A6,2011,2000,"Audi A6 Car (Diesel), 2.0, 2011",7746.32,"October 2025"
171,8703.24.90,DE,Audi,A6,2012,2000,"Audi A6 Car (Diesel), 2.0, 2012",8655.5,"October 2025"
172,8703.24.90,DE,Audi,A6,2013,2000,"Audi A6 Car (Diesel), 2.0, 2013",9681.77,"October 2025"
173,8703.24.90,DE,Audi,A6,2014,2000,"Audi A6 Car (Diesel), 2.0, 2014",10827.78,"October 2025"
174,8703.24.90,DE,Audi,A6,2010,2700,"Audi A6 Car (Diesel), 2.7, 2010",8096.27,"October 2025"
175,8703.24.90,DE,Audi,A6,2011,2700,"Audi A6 Car (Diesel), 2.7, 2011",9037.37,"October 2025"
176,8703.24.90,DE,Audi,A6,2012,2700,"Audi A6 Car (Diesel), 2.7, 2012",10098.08,"October 2025"
177,8703.24.90,DE,Audi,A6,2013,2700,"Audi A6 Car (Diesel), 2.7, 2013",11295.4,"October 2025"
178,8703.24.90,DE,Audi,A6,2014,2700,"Audi A6 Car (Diesel), 2.7, 2014",12401.01,"October 2025"
179,8704.22.90,DE,Audi,A6,2015,1800,"Audi A6 Car (Petrol), 1.8, 2015 TFSI Tronic",5475.24,"October 2025"
180,8704.22.90,DE,Audi,A6,2013,2000,"Audi A6 Car (Petrol), 2.0 TFSI, 2013",6969.88,"October 2025"
181,8704.22.90,DE,Audi,A6,2010,2000,"Audi A6 Car (Petrol), 2.0, 2010",5443.47,"October 2025"
182,8704.22.90,DE,Audi,A6,2011,2000,"Audi A6 Car (Petrol), 2.0, 2011",5801.65,"October 2025"
183,8704.22.90,DE,Audi,A6,2012,2000,"Audi A6 Car (Petrol), 2.0, 2012",6214.73,"October 2025"
184,8704.22.90,DE,Audi,A6,2013,2000,"Audi A6 Car (Petrol), 2.0, 2013",6836.21,"October 2025"
185,8704.22.90,DE,Audi,A6,2014,2000,"Audi A6 Car (Petrol), 2.0, 2014",7519.83,"October 2025"
186,8704.22.90,DE,Audi,A6,2015,2000,"Audi A6 Car (Petrol), 2.0, 2015",8271.81,"October 2025"
187,8704.22.90,DE,Audi,A6,2016,2000,"Audi A6 Car (Petrol), 2.0, 2016",9098.99,"October 2025"
188,8704.22.90,DE,Audi,A6,2017,2000,"Audi A6 Car (Petrol), 2.0, 2017",10008.89,"October 2025"
189,8703.24.90,DE,Audi,A6,2010,2800,"Audi A6 Car (Petrol), 2.8, 2010",8339.16,"October 2025"
190,8703.24.90,DE,Audi,A6,2011,2800,"Audi A6 Car (Petrol), 2.8, 2011",9308.5,"October 2025"
191,8703.24.90,DE,Audi,A6,2012,2800,"Audi A6 Car (Petrol), 2.8, 2012",10401.02,"October 2025"
192,8703.24.90,DE,Audi,A6,2013,2800,"Audi A6 Car (Petrol), 2.8, 2013",11634.26,"October 2025"
193,8703.24.90,DE,Audi,A6,2014,2800,"Audi A6 Car (Petrol), 2.8, 2014",12773.04,"October 2025"
194,8703.23.90,DE,Audi,A6,2013,3000,"Audi A6 Car (Petrol), 3.0, 2013",9622.43,"October 2025"
195,8703.24.90,DE,Audi,A6,2014,3000,"Audi A6 Car (Petrol), 3.0, 2014",10128.87,"October 2025"
196,8703.24.90,DE,Audi,A6,2015,3000,"Audi A6 Car (Petrol), 3.0, 2015",11740.78,"October 2025"
197,8703.24.90,DE,Audi,A6,2016,3000,"Audi A6 Car (Petrol), 3.0, 2016",13046.64,"October 2025"
198,8703.24.90,DE,Audi,A6,2017,3000,"Audi A6 Car (Petrol), 3.0, 2017",14496.26,"October 2025"
199,8703.23.90,DE,Audi,A7,2010,3000,"Audi A7 (Diesel), 3.0L Tdi Saloon 2010",9039.45,"October 2025"
200,8703.23.90,DE,Audi,A7,2011,3000,"Audi A7 (Diesel), 3.0L Tdi Saloon 2011",10571.97,"October 2025"
201,8703.23.90,DE,Audi,A7,2012,3000,"Audi A7 (Diesel), 3.0L Tdi Saloon 2012",11935.28,"October 2025"
202,8703.23.90,DE,Audi,A7,2013,3000,"Audi A7 (Diesel), 3.0L Tdi Saloon 2013",12692.25,"October 2025"
203,8703.23.90,DE,Audi,A7,2014,3000,"Audi A7 (Diesel), 3.0L Tdi Saloon 2014",14252.99,"October 2025"
204,8703.23.90,DE,Audi,A7,2015,3000,"Audi A7 (Diesel), 3.0L Tdi Saloon 2015",18097.7,"October 2025"
205,8703.23.90,DE,Audi,A7,2016,3000,"Audi A7 (Diesel), 3.0L Tdi Saloon 2016",21657.3,"October 2025"
206,8703.23.90,DE,Audi,A7,2010,2500,"Audi A7 (Petrol), 2.5L Saloon 2010",7683.53,"October 2025"
207,8703.23.90,DE,Audi,A7,2011,2500,"Audi A7 (Petrol), 2.5L Saloon 2011",8986.17,"October 2025"
208,8703.23.90,DE,Audi,A7,2012,2500,"Audi A7 (Petrol), 2.5L Saloon 2012",11338.52,"October 2025"
209,8703.23.90,DE,Audi,A7,2013,2500,"Audi A7 (Petrol), 2.5L Saloon 2013",12057.64,"October 2025"
210,8703.23.90,DE,Audi,A7,2014,2500,"Audi A7 (Petrol), 2.5L Saloon 2014",13540.34,"October 2025"
211,8703.23.90,DE,Audi,A7,2015,2500,"Audi A7 (Petrol), 2.5L Saloon 2015",17192.82,"October 2025"
212,8703.23.90,DE,Audi,A7,2016,2500,"Audi A7 (Petrol), 2.5L Saloon 2016",20574.43,"October 2025"
213,8703.23.90,DE,Audi,A7,2017,2500,"Audi A7 (Petrol), 2.5L Saloon 2017",23660.6,"October 2025"
214,8703.23.90,DE,Audi,A7,2010,3000,"Audi A7 (Petrol), 3.0L Saloon 2010",8587.48,"October 2025"
215,8703.23.90,DE,Audi,A7,2011,3000,"Audi A7 (Petrol), 3.0L Saloon 2011",10043.37,"October 2025"
216,8703.23.90,DE,Audi,A7,2012,3000,"Audi A7 (Petrol), 3.0L Saloon 2012",11338.52,"October 2025"
217,8703.23.90,DE,Audi,A7,2013,3000,"Audi A7 (Petrol), 3.0L Saloon 2013",12057.64,"October 2025"
218,8703.23.90,DE,Audi,A7,2014,3000,"Audi A7 (Petrol), 3.0L Saloon 2014",13540.34,"October 2025"
219,8703.23.90,DE,Audi,A7,2015,3000,"Audi A7 (Petrol), 3.0L Saloon 2015",17192.82,"October 2025"
220,8703.23.90,DE,Audi,A7,2016,3000,"Audi A7 (Petrol), 3.0L Saloon 2016",20574.43,"October 2025"
221,8703.23.90,DE,Audi,A7,2010,3000,"Audi A7 (Petrol), 4.0L Saloon 2010",9446.22,"October 2025"
222,8703.23.90,DE,Audi,A7,2011,3000,"Audi A7 (Petrol), 4.0L Saloon 2011",11047.71,"October 2025"
223,8703.23.90,DE,Audi,A7,2012,3000,"Audi A7 (Petrol), 4.0L Saloon 2012",12472.37,"October 2025"
224,8703.23.90,DE,Audi,A7,2013,3000,"Audi A7 (Petrol), 4.0L Saloon 2013",13263.4,"October 2025"
225,8703.23.90,DE,Audi,A7,2014,3000,"Audi A7 (Petrol), 4.0L Saloon 2014",14894.37,"October 2025"
226,8703.23.90,DE,Audi,A7,2015,3000,"Audi A7 (Petrol), 4.0L Saloon 2015",18912.1,"October 2025"
227,8703.23.90,DE,Audi,A7,2016,3000,"Audi A7 (Petrol), 4.0L Saloon 2016",22631.88,"October 2025"
228,8703.24.90,DE,Audi,A8,2010,3000,"Audi A8 (Petrol), 2010",8656.21,"October 2025"
229,8703.24.90,DE,Audi,A8,2010,4200,"Audi A8 (Petrol), 2010",9604.58,"October 2025"
230,8703.24.90,DE,Audi,A8,2011,3000,"Audi A8 (Petrol), 2011",9435.27,"October 2025"
231,8703.24.90,DE,Audi,A8,2011,4200,"Audi A8 (Petrol), 2011",10450.95,"October 2025"
232,8703.24.90,DE,Audi,A8,2012,3000,"Audi A8 (Petrol), 2012",10284.45,"October 2025"
